,id,model,brand,2G_bands,3G_bands,4G_bands,2g 3g 4g sim,weight_g,SIM,display_resolution (inches),ppi,OS,CPU Cores,CPU Frequency (GHz),internal_memory,RAM,primary_camera,secondary_camera,WLAN,bluetooth,GPS,NFC,radio,USB,battery,accelerometer,proximity,fingerprint,compass,gyro,heart rate,barometer,altimeter,gravity,thermometer,color spectrum,light sensor,sound level meter,humidity,thickness,حدود هزینه تولید
0,1,Iconia Talk S,Acer,Yes,Yes,Yes,40,260.0,2,7.0,210,Android,4,1.3,16.0,2.0,13.0,2.0,Yes,Yes,Yes,No,Yes,Yes,3400,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,9.4,634.8147202753004
1,2,Liquid Z6 Plus,Acer,Yes,Yes,Yes,35,169.0,1,5.5,401,Android,8,1.3,32.0,3.0,13.0,5.0,Yes,Yes,Yes,No,Yes,Yes,4080,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,8.5,839.0150182974211
2,3,Liquid Zest,Acer,Yes,Yes,Yes,35,125.0,1,5.0,294,Android,4,1.3,8.0,1.0,8.0,5.0,Yes,Yes,Yes,No,Yes,Yes,2000,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,8.4,618.9651373085713
3,4,Liquid Jade Primo,Acer,Yes,Yes,Yes,40,150.0,2,5.5,401,Microsoft Windows,6,1.53,32.0,3.0,21.0,8.0,Yes,Yes,Yes,No,Yes,Yes,2870,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,8.4,831.9994388641907
4,5,Liquid Z330,Acer,Yes,Yes,Yes,35,142.0,1,4.5,218,Android,4,1.1,8.0,1.0,5.0,5.0,Yes,Yes,Yes,No,Yes,Yes,2000,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,9.6,544.6723916004538
5,6,Liquid Z320,Acer,Yes,Yes,No,25,142.0,1,4.5,218,Android,4,1.0,8.0,1.0,5.0,2.0,Yes,Yes,Yes,No,Yes,Yes,2000,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,9.6,525.2327134027387
6,7,Liquid Z630,Acer,Yes,Yes,Yes,35,165.0,1,5.5,267,Android,4,1.3,8.0,1.0,8.0,8.0,Yes,Yes,Yes,No,Yes,Yes,4000,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,8.9,681.1092754045319
7,8,Liquid Z530,Acer,Yes,Yes,Yes,35,145.0,1,5.0,294,Android,4,1.3,8.0,1.0,8.0,8.0,Yes,Yes,Yes,No,Yes,Yes,2420,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,8.9,615.8121835838357
8,9,Liquid Jade Z,Acer,Yes,Yes,Yes,40,110.0,2,5.0,294,Android,4,1.5,8.0,1.0,13.0,5.0,Yes,Yes,Yes,No,Yes,Yes,2300,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,8.0,701.9075373
9,10,Liquid Z520,Acer,Yes,Yes,No,25,118.0,1,5.0,187,Android,4,1.3,8.0,1.0,8.0,2.0,Yes,Yes,Yes,No,Yes,Yes,2000,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,6.4,589.9600549961017
10,11,Liquid Z220,Acer,Yes,Yes,No,25,120.0,1,4.0,233,Android,2,1.2,8.0,1.0,5.0,2.0,Yes,Yes,Yes,No,Yes,Yes,1300,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,9.6,488.8202807950001
11,12,Liquid M220,Acer,Yes,Yes,No,25,119.0,1,4.0,233,Microsoft Windows Phone,2,1.2,4.0,0.512,5.0,2.0,Yes,Yes,Yes,No,Yes,Yes,1300,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,9.6,448.1047120975211
